pt_japanese,pt_english,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal
間質性肺疾患,Interstitial lung disease,full_jader_excluding_dato,14,36,45412,991699,50,1037111,8.4924848547129,4.580316116433017,15.746140042337123,6.39458909539329,61.09061211821424,2.430417530418583,0.5532033343188134,2.1899203691615865,6.185227920252764,3.87996503729744,True,True,True,True,True
感染性虹彩毛様体炎,Infectious iridocyclitis,full_jader_excluding_dato,1,49,1,1037110,50,1037111,21165.51020408163,1305.2668348544253,343208.6146960487,20742.219999999998,2592.0325525596477,1.5846843267523367,-3.0325676424383214,9.64170461480908e-05,2844.786125000394,280.3858907895566,False,False,False,False,False
角膜上皮症,Corneal epitheliopathy,full_jader_excluding_dato,3,47,112,1036999,50,1037111,590.9948708206687,181.27955690638217,1926.7199418228631,555.5951785714286,1122.5330327000163,2.7914464110889665,-1.4630471308544677,0.005543980153515221,452.17796418101454,148.3875924732114,True,True,False,True,False
アフタ性潰瘍,Aphthous ulcer,full_jader_excluding_dato,2,48,81,1037030,50,1037111,533.451646090535,127.5097231491026,2231.7565412948193,512.1535802469136,559.391937409855,2.3104287135913966,-2.0556828947612775,0.004001307415145768,381.01712332339224,90.53579284781125,False,False,False,False,False
咽喉頭炎,Pharyngolaryngitis,full_jader_excluding_dato,1,49,50,1037061,50,1037111,423.2902040816327,57.331444102684785,3125.241299531119,414.8444,100.69471515023527,1.5778857654923033,-3.0312192205613826,0.0024586346767763155,233.58227352707203,23.022178454814032,False,False,False,False,False
角膜炎,Keratitis,full_jader_excluding_dato,1,49,116,1036995,50,1037111,182.44106263194934,24.98264742377369,1332.3144168700387,178.81224137931034,43.3357375870104,1.5687788660503095,-3.02945052592659,0.005640397199663312,104.44831686634794,10.294564539904302,False,False,False,False,False
疾患進行,Disease progression,full_jader_excluding_dato,5,45,2819,1034292,50,1037111,40.766702140238856,16.170257389799318,102.77659553145678,36.79003192621497,140.26779860002168,3.1120134374232435,-0.6327145560007366,0.1361408691611042,33.4070160929775,14.655857706983435,True,True,False,True,False
眼圧上昇,Intraocular pressure increased,full_jader_excluding_dato,1,49,538,1036573,50,1037111,39.32072680373265,5.419748562841471,285.2751448608123,38.554312267658,8.65205720405903,1.5118706005088742,-3.0193645352194403,0.02598439393691047,23.032442646273832,2.2701080730397494,False,False,False,False,False
口内炎,Stomatitis,full_jader_excluding_dato,6,44,4224,1032887,50,1037111,33.34475077479339,14.202027308205608,78.2896962598199,29.46338068181818,138.1148405349165,3.206952129263564,-0.341150300809002,0.20392205260321203,27.202295933018032,12.944886169609575,True,True,False,True,False
炎症,Inflammation,full_jader_excluding_dato,1,49,636,1036475,50,1037111,33.25872801950969,4.585469502587428,241.22785875068158,32.613553459119494,7.176443347604512,1.4989700450981984,-3.0173078067614534,0.03070882919816692,19.50219780950912,1.9221624631526901,False,False,False,False,False
注入に伴う反応,Infusion related reaction,full_jader_excluding_dato,4,46,2999,1034112,50,1037111,29.98425562143903,10.786801608214924,83.34774457028139,27.66551517172391,77.99119997521117,2.80306804108126,-0.962277759435048,0.14477019479135833,24.53265275528865,9.601931443489198,True,True,False,True,False
出血性膀胱炎,Haemorrhagic cystitis,full_jader_excluding_dato,1,49,808,1036303,50,1037111,26.174555465750657,3.6099269369283995,189.7842714824027,25.671064356435643,5.453659483985322,1.476603461938351,-3.013941043962722,0.03900069516690273,15.368050269028357,1.5146954024108243,False,False,False,False,False
骨髄炎,Osteomyelitis,full_jader_excluding_dato,1,49,1455,1035656,50,1037111,14.52634827126727,2.0045057887783355,105.270234328809,14.255821305841925,2.6356978300239047,1.3954437855216686,-3.0038183593113477,0.0701916095958101,8.550138312857428,0.842712963957568,False,False,False,False,False
背部痛,Back pain,full_jader_excluding_dato,1,49,1633,1035478,50,1037111,12.940725095917118,1.7858337570267648,93.77265120517562,12.701910593998775,2.2561230094342934,1.3738936557316221,-3.0016745405528487,0.07877272670299018,7.620084409153288,0.7510456185706267,False,False,False,False,False
圧迫骨折,Compression fracture,full_jader_excluding_dato,1,49,1648,1035463,50,1037111,12.82275361600951,1.7695631337539146,92.91728967481453,12.58629854368932,2.227963439316796,1.372092254726807,-3.0015055558079684,0.07949585454910087,7.550868939711961,0.7442236501684428,False,False,False,False,False
肺毒性,Pulmonary toxicity,full_jader_excluding_dato,1,49,1911,1035200,50,1037111,11.055222717030297,1.5257642541614598,80.10277406211229,10.854118262689692,1.8078355311331828,1.3408677507628137,-2.998825477668113,0.0921746961175748,6.513522555585522,0.641981415712038,False,False,False,False,False
うっ血性心不全,Cardiac failure congestive,full_jader_excluding_dato,1,49,2305,1034806,50,1037111,9.162034618619682,1.2645894252198493,66.37955108488431,8.99879392624729,1.363096407912839,1.2953195715795913,-2.995752993764595,0.1111688542087487,5.401779997771309,0.5324065957767241,False,False,False,False,False
脳出血,Cerebral haemorrhage,full_jader_excluding_dato,2,48,7422,1029689,50,1037111,5.780612817749034,1.4046908946624523,23.788496583623242,5.589388305039073,3.671023909945986,1.5430465714927821,-1.9951025830004439,0.357900075301713,4.380662184886915,1.0409157484781533,False,False,False,False,False
